id,category_id,name,file_link,thumbnail,created_at,updated_at
da5dd23d-c6ef-4eea-a9d2-e6b16e256a32,6b4a161f-4ede-4db4-832d-55c6dcbe12f2,Compiler Design Practice Solution 3,https://drive.google.com/file/d/1QXyWsjtDxbiWomesrLqa3cLgzZQHRFpa/preview,https://lh3.googleusercontent.com/d/1QXyWsjtDxbiWomesrLqa3cLgzZQHRFpa=s1024?authuser=0,2025-09-29 11:05:37.077126+00,2025-09-29 11:05:37.077126+00
da72484c-db05-47d8-b14e-643abf7fb3ed,445e4c76-3eb9-4969-afd9-e9b942b072f2,450+ Infosys Puzzles,https://drive.google.com/file/d/1aBgcUOuEWIFsSGGKuYSHDI6MuPu4Aqsx/view?usp=sharing,https://lh3.googleusercontent.com/d/1aBgcUOuEWIFsSGGKuYSHDI6MuPu4Aqsx=s1024?authuser=0,2025-09-18 12:17:27.375549+00,2025-09-18 12:17:27.375549+00
da7e04c8-10dd-4039-b996-6f3a9eae91f9,04577458-edfd-4742-ab2a-78b7f8b121b3,Infosys Paid Material Pro (edoc.site),https://drive.google.com/file/d/120eSg-pxSTsngS9lu3Ivn6TfwLESVC3o/view?usp=sharing,https://lh3.googleusercontent.com/d/120eSg-pxSTsngS9lu3Ivn6TfwLESVC3o=s1024?authuser=0,2025-09-18 12:16:16.814813+00,2025-09-18 12:16:16.814813+00
da8bf3f3-d6b7-4cbb-bd7b-282b45411c2b,e03aab51-4edc-47cc-ae20-822ce7bf5b1f,CoCubes Quantitative Aptitude,https://drive.google.com/file/d/1FqQGG20pCnjChLn1OmGh0kbjuaE6e8Lo/view?usp=sharing,https://lh3.googleusercontent.com/d/1FqQGG20pCnjChLn1OmGh0kbjuaE6e8Lo=s1024?authuser=0,2025-09-18 12:15:36.705488+00,2025-09-18 12:15:36.705488+00
dab0cd26-69a6-4ae7-b02a-67d172df11fe,e03aab51-4edc-47cc-ae20-822ce7bf5b1f,CoCubes English,https://drive.google.com/file/d/1pyUcvThh0Abc0JU26RSH_FA1l2zw85dv/view?usp=sharing,https://lh3.googleusercontent.com/d/1pyUcvThh0Abc0JU26RSH_FA1l2zw85dv=s1024?authuser=0,2025-09-18 12:15:39.956365+00,2025-09-18 12:15:39.956365+00
dab72a07-468b-4424-a3fe-c06c5e12d818,04577458-edfd-4742-ab2a-78b7f8b121b3,Infosys Paid Material Pro 1,https://drive.google.com/file/d/1qlZjhAtaOpfZEUUrtijHdPErHQbe-wOr/view?usp=sharing,https://lh3.googleusercontent.com/d/1qlZjhAtaOpfZEUUrtijHdPErHQbe-wOr=s1024?authuser=0,2025-09-18 12:16:08.72504+00,2025-09-18 12:16:08.72504+00
dac12b5c-849c-47fb-a279-3fd1d8f5e10c,445e4c76-3eb9-4969-afd9-e9b942b072f2,TCS Technical Paid Paper (Good),https://drive.google.com/file/d/1I0RmFBw4dYgDAxtWa42RWuo8Hf5PBQDJ/view?usp=sharing,https://lh3.googleusercontent.com/d/1I0RmFBw4dYgDAxtWa42RWuo8Hf5PBQDJ=s1024?authuser=0,2025-09-18 12:17:22.403942+00,2025-09-18 12:17:22.403942+00
daca885f-9323-4987-b2eb-f2b8ae6f46fd,3024e920-c524-4a2d-af42-ba166191eaad,eLitmus Aptitude,https://drive.google.com/file/d/1fDF_nsLDgsC-FHIA0vvP7JAEMR9OoA-P/view?usp=sharing,https://lh3.googleusercontent.com/d/1fDF_nsLDgsC-FHIA0vvP7JAEMR9OoA-P=s1024?authuser=0,2025-09-18 12:15:15.901478+00,2025-09-18 12:15:15.901478+00
db1d39dd-4e19-45ba-91bb-8312253d3312,e0253cfe-6e31-4562-8fbd-b5b949e83b47,Digital Logic Notes - Ankur Gupta,https://drive.google.com/file/d/166a57w3w6N8mfrs_iTYCWp6iaBQFWV7l/preview,https://lh3.googleusercontent.com/d/166a57w3w6N8mfrs_iTYCWp6iaBQFWV7l=s1024?authuser=0,2025-09-29 11:05:19.917456+00,2025-09-29 11:05:19.917456+00
db1df6e2-67c2-4474-bad6-e272c678d211,40a07318-49a8-4325-8bac-f99df7950d3b,Ikigai,https://drive.google.com/file/d/13uOuFMeX2CQAbzlqIdmYoFkhIv-f4pqi/preview,https://lh3.googleusercontent.com/d/13uOuFMeX2CQAbzlqIdmYoFkhIv-f4pqi=s1024?authuser=0,2025-09-29 11:04:29.118033+00,2025-09-29 11:04:29.118033+00
